City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Ahipara,NZ,75.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
528,Tsabong,BW,66.34,overcast clouds,-26.0217,22.401,Springbok Motel
529,Portel,BR,71.98,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
532,Katobu,ID,75.94,overcast clouds,-4.9408,122.5276,La Ode Husein
535,Lilongwe,MW,64.65,broken clouds,-13.9669,33.7873,Spendwise furnished apartments.
536,Doka,SD,85.21,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
542,Valdivia,CL,62.69,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
543,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
552,Kimbe,PG,82.96,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
553,Rock Sound,BS,75.0,clear sky,24.9,-76.2,Pink Corral Bay Property
554,Marolambo,MG,68.45,broken clouds,-20.05,48.1167,local guide suport centre
555,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
556,Rosa Zarate,EC,75.04,moderate rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
561,Hervey Bay,AU,77.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
562,Mudigere,IN,62.82,broken clouds,13.1333,75.6333,MoonLight Homestay
563,Moron,AR,78.03,scattered clouds,-34.6534,-58.6198,Hotel Morón
564,Luanda,AO,79.7,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
565,Padong,PH,81.52,broken clouds,18.0522,120.7567,Northview hotel
566,Bandarbeyla,SO,75.36,scattered clouds,9.4942,50.8122,JABIR HOTEL
567,Tartagal,AR,84.0,overcast clouds,-22.5164,-63.8013,Almuñecar Hotel
568,Manokwari,ID,79.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
569,Buala,SB,85.87,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
570,Alice Springs,AU,72.95,few clouds,-23.7,133.8833,Desert Palms Alice Springs
571,Nouna,BF,86.58,scattered clouds,12.7333,-3.8667,Sabunyuma So
572,Kirundo,BI,72.37,broken clouds,-2.5833,30.1667,Maranatha Hotel
574,Huarmey,PE,74.03,broken clouds,-10.0681,-78.1522,Hotel Miramar
581,Batticaloa,LK,76.69,broken clouds,7.7102,81.6924,Grand Star Guest House
583,Tual,ID,82.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
584,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hotel San Juan
585,Bowen,AU,86.22,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
586,Norfolk,US,63.28,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
588,Antalaha,MG,74.86,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
590,Hambantota,LK,76.5,broken clouds,6.1241,81.1185,Bungalow 63
599,Manaure,CO,82.51,few clouds,11.7751,-72.4445,Hotel Palaaima
600,Pinhao,BR,65.8,light rain,-25.6956,-51.6597,Pinhão Park Hotel
603,Pisco,PE,73.45,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
604,Inhambane,MZ,73.89,scattered clouds,-23.865,35.3833,Oceano
