City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Saldanha,ZA,-33.0117,17.9442,68.05,96,10,20.07,clear sky
254,Hazorasp,UZ,41.3194,61.0742,40.84,44,81,5.06,broken clouds
255,San Ramon,US,37.7799,-121.978,66.42,48,0,11.5,clear sky
256,Mucuri,BR,-18.0864,-39.5508,78.89,74,99,9.35,light rain
257,Yaqui,MX,27.3667,-110.1667,77.56,15,12,17.2,few clouds
258,Champerico,GT,14.3,-91.9167,90.14,55,35,14.88,scattered clouds
259,Korla,CN,41.7597,86.1469,43.09,34,98,5.97,overcast clouds
260,Matara,LK,5.9485,80.5353,75.92,87,99,1.83,overcast clouds
261,Tagusao,PH,9.1924,117.8141,78.21,84,100,0.87,overcast clouds
262,Clyde River,CA,70.4692,-68.5914,-5.57,77,0,9.22,clear sky
263,Rudbar,AF,30.15,62.6,68.59,26,49,8.23,scattered clouds
264,Vuktyl,RU,63.8567,57.3094,-18.81,99,68,3.94,broken clouds
265,Yulara,AU,-25.2406,130.9889,71.44,49,40,8.05,scattered clouds
266,Ruteng,ID,-8.6136,120.4721,61.86,87,96,0.74,overcast clouds
267,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,20.71,scattered clouds
268,New Bern,US,35.1085,-77.0441,78.84,69,0,19.57,clear sky
269,Fomboni,KM,-12.28,43.7425,82.69,73,100,10.11,overcast clouds
270,Vanimo,PG,-2.6741,141.3028,78.78,85,62,2.17,broken clouds
271,Asau,RO,46.4333,26.4,29.32,93,98,1.74,overcast clouds
272,Bomet,KE,-0.7813,35.3416,60.01,58,75,2.44,broken clouds
273,Sisophon,KH,13.5859,102.9737,80.13,76,97,4.38,overcast clouds
274,Muros,ES,42.7762,-9.0603,44.98,84,3,11.72,clear sky
275,College,US,64.8569,-147.8028,28.35,73,100,10.36,light snow
276,Itupiranga,BR,-5.1347,-49.3267,82.72,92,100,2.04,overcast clouds
277,Najran,SA,17.4924,44.1277,61.45,15,6,1.59,clear sky
278,Baculin,PH,7.4525,126.5842,77.47,89,100,6.76,overcast clouds
279,Lydenburg,ZA,-25.0978,30.4597,60.28,95,41,2.98,scattered clouds
280,Glenwood Springs,US,39.5505,-107.3248,38.32,73,100,10.36,light snow
281,Conde,BR,-7.2597,-34.9075,78.26,78,0,8.05,clear sky
282,Nova Olimpia,BR,-14.7972,-57.2881,76.26,90,23,3.0,few clouds
283,Lindi,TZ,-10.0,39.7167,74.23,95,19,2.3,few clouds
284,Akom,CM,2.6678,12.7109,66.97,97,72,1.88,broken clouds
285,Brcko,BA,44.8728,18.8083,34.77,96,99,5.57,overcast clouds
286,Fortuna,US,40.5982,-124.1573,62.42,68,0,16.11,clear sky
287,Port-Cartier,CA,50.0334,-66.8654,19.74,95,100,16.31,snow
288,Kaitangata,NZ,-46.2817,169.8464,52.63,72,100,8.7,light rain
289,Ordu,TR,40.9086,37.6845,32.5,88,84,2.62,broken clouds
290,Te Anau,NZ,-45.4167,167.7167,49.86,96,100,3.24,moderate rain
291,Portsmouth,GB,50.799,-1.0913,41.92,74,10,5.01,clear sky
292,Ixtapa,MX,20.7,-105.2,79.83,50,0,14.97,clear sky
293,Elat,IL,29.5581,34.9482,71.44,33,66,2.3,broken clouds
294,Merrill,US,45.1805,-89.6835,30.67,81,100,9.22,overcast clouds
295,Taltal,CL,-25.4,-70.4833,70.07,76,25,7.02,scattered clouds
296,Kloulklubed,PW,7.0419,134.2556,77.5,78,99,14.23,moderate rain
297,Forest Hills,US,42.9595,-85.4898,38.37,79,100,21.85,overcast clouds
298,Krasnyy Chikoy,RU,50.3643,108.7512,10.24,96,100,1.72,overcast clouds
299,La Palma,US,33.8464,-118.0467,67.77,50,20,10.36,few clouds
300,San Patricio,US,28.017,-97.5169,83.08,64,79,21.16,broken clouds
301,Constitucion,CL,-35.3333,-72.4167,62.46,73,3,9.66,clear sky
302,Krasnoselkup,RU,65.7,82.4667,-30.93,100,71,6.89,broken clouds
303,Sinnamary,GF,5.3833,-52.95,75.7,89,100,12.88,overcast clouds
304,Kushiro,JP,42.975,144.3747,27.55,68,75,21.85,broken clouds
305,Izumo,JP,35.3667,132.7667,31.95,80,75,9.22,broken clouds
306,Camargo,MX,27.6667,-105.1667,85.5,4,1,26.55,clear sky
307,Tangshan,CN,39.6333,118.1833,33.06,43,12,4.81,few clouds
308,Bay City,US,43.5945,-83.8889,39.31,76,100,19.57,overcast clouds
309,Hauterive,FR,46.0901,3.4459,32.76,72,0,2.68,clear sky
310,Lewisburg,US,35.4492,-86.7889,77.09,56,20,11.5,few clouds
311,Imbituba,BR,-28.24,-48.6703,84.09,91,76,5.77,moderate rain
312,Svetlyy,RU,54.675,20.1347,33.96,89,58,7.9,broken clouds
313,Fort Wellington,GY,6.4,-57.6,76.51,87,86,9.73,overcast clouds
314,Nhulunbuy,AU,-12.2333,136.7667,83.01,83,100,0.0,overcast clouds
315,Mirnyy,RU,62.5353,113.9611,-8.77,83,100,7.0,overcast clouds
316,Ocean City,US,39.2776,-74.5746,70.3,78,100,16.55,overcast clouds
317,Moose Factory,CA,51.2585,-80.6094,23.0,58,100,13.8,overcast clouds
318,Egvekinot,RU,66.3167,-179.1667,10.33,85,100,10.31,overcast clouds
319,Batagay,RU,67.6333,134.6333,-35.19,100,96,1.14,overcast clouds
320,Porangatu,BR,-13.4408,-49.1486,73.08,92,88,2.1,overcast clouds
321,Anupgarh,IN,29.1911,73.2086,71.19,35,72,8.99,broken clouds
322,Tamandare,BR,-8.7597,-35.1047,79.47,71,97,9.19,overcast clouds
323,Galesong,ID,-5.3166,119.3661,75.22,93,100,4.9,moderate rain
324,Huntington,US,38.4193,-82.4452,63.09,94,100,8.05,moderate rain
325,Zhovti Vody,UA,48.3473,33.5003,26.76,83,16,3.04,few clouds
326,Nuuk,GL,64.1835,-51.7216,20.01,86,75,5.75,light snow
327,Nushki,PK,29.5542,66.0215,62.73,40,12,3.74,few clouds
328,Helong,CN,42.5397,128.9972,13.71,79,73,4.59,broken clouds
329,Mogadishu,SO,2.0371,45.3438,78.22,84,15,19.35,few clouds
330,Nagato,JP,34.3833,131.2,40.91,60,100,7.05,overcast clouds
331,Paamiut,GL,61.994,-49.6678,19.65,95,100,5.73,light snow
332,Sambava,MG,-14.2667,50.1667,75.16,91,100,3.42,overcast clouds
333,Mineros,BO,-17.1167,-63.2333,87.39,64,41,4.09,moderate rain
334,Terra Santa,BR,-2.1042,-56.4869,77.0,90,99,1.39,overcast clouds
335,Mandurah,AU,-32.55,115.7,72.21,66,8,18.34,clear sky
336,Stornoway,GB,58.2093,-6.3865,43.93,76,75,25.32,broken clouds
337,Salta,AR,-24.7859,-65.4117,80.89,69,75,11.5,broken clouds
338,Rudnaya Pristan,RU,44.3614,135.8116,21.04,74,26,8.63,scattered clouds
339,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,40,6.91,scattered clouds
340,Mnogovershinnyy,RU,53.9353,139.9242,3.33,95,100,1.99,overcast clouds
341,Bridlington,GB,54.0831,-0.1919,41.02,78,9,1.99,clear sky
342,Sinnai,IT,39.3042,9.2036,46.47,66,0,4.61,clear sky
343,Toktogul,KG,41.8708,72.9402,42.04,87,100,1.21,light rain
344,Havoysund,NO,70.9963,24.6622,27.48,81,88,16.2,overcast clouds
345,Londonderry,GB,54.9981,-7.3093,30.74,93,20,2.39,few clouds
